marca_uber,modelo_uber,marca_fipe,modelo_fipe,ano_modelo,combustivel,preco_fipe,codigo_fipe,mes_referencia
JaguarDown,E-PACE,Jaguar,E-Pace 2.0 AWD 249cv Aut/Flex,2020,Gasolina,"R$ 178.587,00",016057-1,setembro de 2026
JaguarDown,F-PACE,Jaguar,F-Pace 2.0 Prestige 180cv Diesel Aut.,2020,Diesel,"R$ 172.176,00",016052-0,setembro de 2026
JaguarDown,XE,Jaguar,XE 2.0 R-Dynamic S 250cv Aut.,2021,Gasolina,"R$ 232.348,00",016072-5,setembro de 2026
JaguarDown,XF,Jaguar,XF 2.0 GTDi Prestige 16V Aut.,2018,Gasolina,"R$ 174.500,00",016047-4,setembro de 2026
JaguarDown,XF Sportbrake,Jaguar,XF 2.0 GTDi Prestige 16V Aut.,2018,Gasolina,"R$ 174.500,00",016047-4,setembro de 2026
KiaDown,Cerato,Kia Motors,Cerato 1.6 16 V Flex Mec.,2014,Flex,"R$ 59.813,00",018084-0,setembro de 2026
Maruti SuzukiDown,S-Cross,Suzuki,S-CROSS 4STYLE 1.4 TB 16V Aut.,2020,Gasolina,"R$ 88.771,00",028069-0,setembro de 2026
Mercedes-BenzDown,C 180,Mercedes-Benz,C-180 1.6 Turbo 16V/Flex 16V Aut.,2017,Gasolina,"R$ 109.439,00",021331-4,setembro de 2026
OmodaDown,5,Omoda,5 Luxury 1.5 TB FWD,2027,Híbrido,"R$ 156.121,00",302002-9,setembro de 2026
SuzukiDown,S-Cross,Suzuki,S-CROSS 4STYLE 1.4 TB 16V Aut.,2020,Gasolina,"R$ 88.771,00",028069-0,setembro de 2026
ToyotaDown,Etios Sedan,Toyota,ETIOS X Plus Sedan 1.5 Flex 16V 4p Aut.,2021,Flex,"R$ 71.642,00",002164-4,setembro de 2026
ToyotaDown,Prius,Toyota,PRIUS 1.8 16V 5p Aut. (Híbrido),2021,Híbrido,"R$ 182.241,00",002129-6,setembro de 2026
ToyotaDown,Prius+,Toyota,PRIUS 1.8 16V 5p Aut. (Híbrido),2021,Híbrido,"R$ 182.241,00",002129-6,setembro de 2026
ToyotaDown,RAV4,Toyota,RAV4 2.0 4x2 16V Aut.,2018,Gasolina,"R$ 115.388,00",002130-0,setembro de 2026
ToyotaDown,Yaris,Toyota,YARIS Cross XR 1.5 16V 5p Aut.,2026,Flex,"R$ 139.320,00",002228-4,setembro de 2026
ToyotaDown,Yaris Ativ,Toyota,YARIS Cross XR 1.5 16V 5p Aut.,2026,Flex,"R$ 139.320,00",002228-4,setembro de 2026
ToyotaDown,Yaris Cross,Toyota,YARIS Cross XR 1.5 16V 5p Aut.,2026,Flex,"R$ 139.320,00",002228-4,setembro de 2026
ToyotaDown,Yaris Cross Hybrid,Toyota,YARIS Cross XR 1.5 16V 5p Aut.,2026,Flex,"R$ 139.320,00",002228-4,setembro de 2026
ToyotaDown,Yaris iA,Toyota,YARIS Cross XR 1.5 16V 5p Aut.,2026,Flex,"R$ 139.320,00",002228-4,setembro de 2026
ToyotaDown,Yaris Sedan,Toyota,YARIS XL Live Sedan 1.5 Flex 16V 4p Aut.,2022,Flex,"R$ 80.514,00",002186-5,setembro de 2026
ToyotaDown,bZ4X,Toyota,bZ4X AWD,2026,Elétrico,"R$ 370.660,00",002231-4,setembro de 2026
ToyotaDown,Crown Sedan,Toyota,ETIOS X Plus Sedan 1.5 Flex 16V 4p Aut.,2021,Flex,"R$ 71.642,00",002164-4,setembro de 2026
ToyotaDown,Etios,Toyota,ETIOS 1.3 Flex 16V 5p Mec.,2014,Flex,"R$ 43.861,00",002121-0,setembro de 2026
ToyotaDown,Etios Cross,Toyota,ETIOS CROSS 1.5 Flex 16V 5p Aut.,2018,Flex,"R$ 64.434,00",002148-2,setembro de 2026
ToyotaDown,Etios Liva,Toyota,ETIOS 1.3 Flex 16V 5p Mec.,2014,Flex,"R$ 43.861,00",002121-0,setembro de 2026
ToyotaDown,Prius Alpha,Toyota,PRIUS 1.8 16V 5p Aut. (Híbrido),2021,Híbrido,"R$ 182.241,00",002129-6,setembro de 2026
ToyotaDown,Prius Prime,Toyota,PRIUS 1.8 16V 5p Aut. (Híbrido),2021,Híbrido,"R$ 182.241,00",002129-6,setembro de 2026
ToyotaDown,RAV4 Prime,Toyota,RAV4 2.0 4x2 16V Aut.,2018,Gasolina,"R$ 115.388,00",002130-0,setembro de 2026
ToyotaDown,Yaris R,Toyota,YARIS Cross XR 1.5 16V 5p Aut.,2026,Flex,"R$ 139.320,00",002228-4,setembro de 2026
