Modelo,Fabricante,Veiculos_Vendidos,Part_Mercado_Pct
M.BENZ EQS450 4M AMG L,M.BENZ,18,0.0021
TANGJUN RD6 LUXURY,RIDDARA,18,0.0021
LEXUS NX300H F-SPORT HEV,LEXUS,16,0.0018
LR DEF110 PHEV X,LAND ROVER,16,0.0018
TANGJUN RD6 STANDARD,RIDDARA,16,0.0018
TESLA MODEL 3 LONG R,TESLA,16,0.0018
TOYOTA SIENNA XSE,TOYOTA,16,0.0018
BYD SONG PRO GS DMFLEX,BYD,15,0.0017
FCA PACIFICA HPINNACLE,CHRYSLER,15,0.0017
JAC IEV 20,JAC,15,0.0017
AUDI SQ8 SB E TRON,AUDI,14,0.0016
BMW IX3 50 XDRIVE MSP,BMW,14,0.0016
CADILLAC LYRIQ LUXURY,CADILLAC,14,0.0016
DENZA Z9 GT,DENZA,14,0.0016
M.BENZ AMG EQE53 SUV,M.BENZ,14,0.0016
AUDI Q7 HIBRIDO,AUDI,13,0.0015
AUDI RS6 AV PERF HIB,AUDI,13,0.0015
CAOACHANGAN AVATR11 EV,CAOA CHANGAN,13,0.0015
AUDI SQ6 SB ETRON,AUDI,12,0.0014
BYD SONG PLUS GS 450DM,BYD,12,0.0014
BYD SONG PRO GL DM FLEX,BYD,12,0.0014
JAG IPACE E400 S,JAGUAR,12,0.0014
LR DEF130D OB,LAND ROVER,12,0.0014
