Modelo,Fabricante,Veiculos_Vendidos,Part_Mercado_Pct
VOLVO EX30 E60 CORE,VOLVO,1090,0.1249
OMODA 7 PHEV PRESTIGE,OMODA JAECOO,1085,0.1243
KIA NIRO HEV 1.6 SX,KIA,1079,0.1236
LEXUS NX350H LUXURY,LEXUS,1070,0.1226
FIAT FASTBACK IMPETUS HY,FIAT,1019,0.1167
GWM HAVAL H6 HEV1 FLEX,GWM,1010,0.1157
CAOACHERY ICAR EQ1 TEC,CAOA CHERY,996,0.1141
VOLVO XC90 T8 PLUS,VOLVO,956,0.1095
TOYOTA RAV4H SXAWD CNT HEV,TOYOTA,948,0.1086
VOLVO EX40 6 PLUS,VOLVO,946,0.1084
M.BENZ GLE450 D 4M,M.BENZ,926,0.1061
MINI COOPER S ELECTRIC,MINI,917,0.1051
LR DISC D300 LE,LAND ROVER,908,0.104
JETOUR T1 I-DM PREMIUM,JETOUR,907,0.1039
M.BENZ GLA200 AMG LINE,M.BENZ,865,0.0991
BMW X5XDRIVE45E PHEV,BMW,858,0.0983
JEEP COMPASS S 4XE,JEEP,845,0.0968
RENAULT E-KWID TECHNO,RENAULT,834,0.0955
BMW IX1 XDRIVE30,BMW,810,0.0928
JETOUR T2 I-DM PRM 4X4,JETOUR,810,0.0928
JETOUR S06 DM PREMIUM,JETOUR,790,0.0905
LR RRS D350 HSED,LAND ROVER,787,0.0902
LEXUS NX350H F-SPORT,LEXUS,782,0.0896
NISSAN LEAF TEKNA,NISSAN,781,0.0895
LR RRS PHEV AB,LAND ROVER,780,0.0894
VOLVO C40 6 PLUS,VOLVO,770,0.0882
TOYOTA RAV4 SX HYBRID,TOYOTA,745,0.0853
PORSCHE PANAMERA 4EHYB,PORSCHE,744,0.0852
FIAT PULSE AUDACE HYB,FIAT,738,0.0845
VOLVO XC40 RECHARGE PE,VOLVO,727,0.0833
GWM HAVAL H6 PHEV35 FF,GWM,725,0.0831
GAC AION Y ELITE,GAC,717,0.0821
VOLVO EX30 E40 CORE,VOLVO,701,0.0803
BMW IX3,BMW,696,0.0797
FIAT PULSE IMPETUS HYB,FIAT,688,0.0788
VOLVO XC60 T8 POLESTAR,VOLVO,670,0.0768
LR DEF110D HSE XD 7L,LAND ROVER,666,0.0763
VOLVO XC90 T8 AWD ULT,VOLVO,664,0.0761
HYUNDAI KONA LTD HEV,HYUNDAI,661,0.0757
PEUGEOT E2008 GT,PEUGEOT,651,0.0746
VOLVO EC40 6 PLUS,VOLVO,651,0.0746
BMW IX XDRIVE40,BMW,648,0.0742
M.BENZ CLA200 AMG LINE,M.BENZ,631,0.0723
BMW X3 XDRIVE30E PHEV,BMW,630,0.0722
BYD SEALION 7 GS 690EV,BYD,610,0.0699
HYD KONA H 16GDI SIG,HYUNDAI,599,0.0686
LR DISC SPT D200 SE RD,LAND ROVER,595,0.0682
PORSCHE CAYENNE SCPHEV,PORSCHE,590,0.0676
GEELY EX5 PRO,GEELY,578,0.0662
LEXUS RX500H F-SPORT,LEXUS,578,0.0662
VOLVO XC90 T8 ULT DARK,VOLVO,572,0.0655
MG MG4 64 KWH COM,MG,571,0.0654
VOLVO EX30 TWIN ULTRA,VOLVO,567,0.065
VOLVO XC60 INSC EXPRES PHEV,VOLVO,566,0.0648
PORSCHE PANAMERA 4SEHY,PORSCHE,557,0.0638
HONDA ACCORD HYB TRNG,HONDA,551,0.0631
HYUNDAI IONIQ HYBRID,HYUNDAI,501,0.0574
VOLVO EX30 E40 PLUS,VOLVO,497,0.0569
M.BENZ GLC300 4M,M.BENZ,496,0.0568
JETOUR S06 DM ADVANCE,JETOUR,489,0.056
SUBARU FORESTER S MHEV,SUBARU,482,0.0552
CHEV BLAZER EV RS,GM,476,0.0545
GAC GS4 PREMIUM,GAC,475,0.0544
JAC EJV5.5,JAC,475,0.0544
BYD TAN AWD GS 680EV,BYD,471,0.054
LEXUS UX300H,LEXUS,453,0.0519
CITROEN E JUMPY CARGO,CITROEN,444,0.0509
MMC OUTLANDER HPES E,MITSUBISHI,441,0.0505
JAC E JS4,JAC,432,0.0495
RENAULT KANGOO ETECHL2,RENAULT,423,0.0485
MG S5 EV 62KWH LUX,MG,419,0.048
KIA NIRO HEV 1.6 EX,KIA,415,0.0475
ZEEKR 7X FLAGSHIP AWD,ZEEKR,415,0.0475
LR VELAR PHEV HSE DYN,LAND ROVER,409,0.0469
HYD KONA H 16GDI ULT,HYUNDAI,404,0.0463
BMW X5 XDRIVE45E,BMW,401,0.0459
M.BENZ AMG GLE53 4M,M.BENZ,401,0.0459
RENAULT KANGOO MAX ZE,RENAULT,400,0.0458
MG MG4 64 KWH LUX,MG,397,0.0455
BMW X6 M COMPETITION,BMW,385,0.0441
VOLVO XC60 T8 INSCRIPT PHEV,VOLVO,385,0.0441
M.BENZ GLB200 PROG,M.BENZ,382,0.0438
LEXUS ES300H,LEXUS,380,0.0435
TOYOTA RAV4 S HYBRID,TOYOTA,377,0.0432
PEUGEOT E EXPERT CARGO,PEUGEOT,376,0.0431
VOLVO C40 P8 RECHARGE,VOLVO,374,0.0428
BYD TAN AWD GS 700EV,BYD,373,0.0427
CHEV EQUINOX EV,GM,372,0.0426
BMW 530E M SPORT,BMW,360,0.0412
LR R.R SPT 3.0 TD HSE  PHEV,LAND ROVER,360,0.0412
GWM HAVAL H6 GT FF,GWM,356,0.0408
FORD MUSTANG MACH-E GT,FORD,354,0.0406
LR DISC SPT D200 SE RD7L,LAND ROVER,352,0.0403
RENAULT MEGANE E-TECH,RENAULT,349,0.04
BYD D1 GS 180EV,BYD,344,0.0394
TOYOTA RAV4 XSE PHEV,TOYOTA,341,0.0391
BYD YUAN PLUS GS 560EV,BYD,337,0.0386
AUDI E TRON SPB,AUDI,327,0.0375
LR DISC SPT D200 SE D 7L,LAND ROVER,324,0.0371
BMW IX2 XDRIVE30 MSP,BMW,323,0.037
GAC AION ES PLUS,GAC,312,0.0357
BMW IX1 EDRIVE20,BMW,309,0.0354
ZEEKR X FLAGSHIP,ZEEKR,308,0.0353
JETOUR T2 I-DM ADVANCE,JETOUR,303,0.0347
VOLVO XC90 INSC EXPRES,VOLVO,298,0.0341
MG MG4 URB EV43KWH LUX,MG,294,0.0337
M.BENZ GLC300 4M CO,M.BENZ,290,0.0332
M.BENZ GLE450 D 4M CO,M.BENZ,286,0.0328
FIAT 500E ICON,FIAT,282,0.0323
VOLVO XC90 T8 AWD PLUS,VOLVO,282,0.0323
AUDI Q8 SB HIBRIDO,AUDI,280,0.0321
SUBARU XV S MHEV,SUBARU,276,0.0316
LR DISC SPT D200 SE RD7L PHEV,LAND ROVER,275,0.0315
LR VELAR PHEVSRDYN,LAND ROVER,272,0.0312
VOLVO EX90 ULT TW PER,VOLVO,271,0.031
FORD ETRANSIT F35LAAB,FORD,270,0.0309
RENAULT KOLEOS E-TECH,RENAULT,268,0.0307
PORSCHE CAYENNE S PHEV,PORSCHE,267,0.0306
JAC EJV12,JAC,264,0.0302
JETOUR T1 I-DM ADVANCE,JETOUR,262,0.03
VOLVO EX30 C COUNTRY,VOLVO,262,0.03
MINI COUNTRYMAN SE TOP,MINI,261,0.0299
PORSCHE MACAN E4,PORSCHE,260,0.0298
LEXUS NX450H PLUG-IN,LEXUS,256,0.0293
VW ID.4 PRO PERF,VW,255,0.0292
JEEP G CHEROKEE 4XE,JEEP,247,0.0283
PORSCHE MACAN E4S,PORSCHE,242,0.0277
LEXUS UX250H LUXURY,LEXUS,237,0.0272
VOLVO XC90 T8 AWD ULTD,VOLVO,237,0.0272
LR DEF110D HSE XD,LAND ROVER,233,0.0267
GAC HYPTEC HT ELITE,GAC,232,0.0266
M.BENZ GLB220 4M AMG L,M.BENZ,232,0.0266
M.BENZ AMG GLE63S CO,M.BENZ,231,0.0265
CHEV BOLT EUV PREMIER,GM,230,0.0263
PORSCHE TAYCAN 4S,PORSCHE,230,0.0263
VOLVO XC90 T8 ULTRA,VOLVO,228,0.0261
M.BENZ AMG GLC43 CO,M.BENZ,227,0.026
BMW 530E,BMW,223,0.0255
LR DEF110D350 HSE XD,LAND ROVER,222,0.0254
GEELY EX5 EM-I PRO,GEELY,220,0.0252
AUDI Q8 SB E TRON 55,AUDI,217,0.0249
LEXUS NX350H DYNAMIC,LEXUS,217,0.0249
LR DEF110D SE XD 7L,LAND ROVER,217,0.0249
PORSCHE TAYCAN 4S CT,PORSCHE,214,0.0245
BYD YUAN PLUS GS 310EV,BYD,211,0.0242
LR RR PHEV AB,LAND ROVER,210,0.0241
LR RRS D350 AB,LAND ROVER,207,0.0237
BMW IX XDRIVE50,BMW,206,0.0236
JAG FPACE PHEV RD SE,JAGUAR,206,0.0236
GWM WEY 07 DARK ED.,GWM,204,0.0234
MINI COOPER SE,MINI,204,0.0234
RENAULT ZOE NEO INT,RENAULT,203,0.0233
BMW X7 M60I,BMW,199,0.0228
MINI ACEMAN SE,MINI,197,0.0226
PORSCHE CAYENNE CPH BE,PORSCHE,194,0.0222
MG S5 EV 62KWH COM,MG,192,0.022
KIA SPORTAGE TMHEV EX,KIA,191,0.0219
VOLVO EC40 PERF ULTRA,VOLVO,188,0.0215
LR DISC SPT D200 SE PHEV,LAND ROVER,186,0.0213
NETA X 500 COMFORT,NETA,186,0.0213
LR VELAR P340 HSE RDYN,LAND ROVER,185,0.0212
LEXUS RX450H PLUG-IN,LEXUS,183,0.021
BYD ET3,BYD,182,0.0208
LR RRS PHEV LE,LAND ROVER,182,0.0208
